Player,Team,Age,GP,G,Freq,FGM,FGA,FG%,eFG%,2FG Freq,2FGM,2FGA,2FG%,3FG Freq,3PM,3PA,3P%
LeBron James,CLE,30,20,20,100%,11.3,27.1,41.6,43.9,79.70%,10.1,21.6,46.4,20.30%,1.3,5.5,22.7
LaMarcus Aldridge,POR,29,5,5,100%,7.4,22.4,33,34.4,90.20%,6.8,20.2,33.7,9.80%,0.6,2.2,27.3
Monta Ellis,DAL,29,5,5,100%,10.4,22.2,46.8,51.8,73.00%,8.2,16.2,50.6,27.00%,2.2,6,36.7
Anthony Davis,NOP,22,4,4,100%,11.8,21.8,54,54,97.70%,11.8,21.3,55.3,2.30%,0,0.5,0
Stephen Curry,GSW,27,21,21,100%,9.5,20.9,45.6,56.7,47.20%,4.9,9.9,49.3,52.80%,4.7,11.1,42.2
Bradley Beal,WAS,22,10,10,100%,8.1,20,40.5,46.3,68.50%,5.8,13.7,42.3,31.50%,2.3,6.3,36.5
DeMar DeRozan,TOR,25,4,4,100%,8,20,40,41.9,90.00%,7.3,18,40.3,10.00%,0.8,2,37.5
Blake Griffin,LAC,26,14,14,100%,9.9,19.5,50.9,51.1,97.40%,9.9,19,51.9,2.60%,0.1,0.5,14.3
Derrick Rose,CHI,26,12,12,100%,7.8,19.5,39.7,44.7,71.80%,5.8,14,41.7,28.20%,1.9,5.5,34.8
Damian Lillard,POR,24,5,5,100%,7.8,19,41.1,43.7,67.40%,6.8,12.8,53.1,32.60%,1,6.2,16.1
Jimmy Butler,CHI,25,12,12,100%,7.8,17.8,44.1,50.7,66.20%,5.5,11.8,46.8,33.80%,2.3,6,38.9
James Harden,HOU,25,17,17,100%,7.6,17.3,43.9,50.9,63.60%,5.2,11,47.1,36.40%,2.4,6.3,38.3
Dirk Nowitzki,DAL,37,5,5,100%,7.6,16.8,45.2,47.6,79.80%,6.8,13.4,50.7,20.20%,0.8,3.4,23.5
Marc Gasol,MEM,30,11,11,100%,6.5,16.4,39.4,39.4,98.90%,6.5,16.2,39.9,1.10%,0,0.2,0
Klay Thompson,GSW,25,21,21,100%,7.1,15.9,44.6,53.1,56.30%,4.4,8.9,48.9,43.70%,2.7,7,39
Chris Paul,LAC,30,12,12,100%,7.9,15.8,50.3,57.4,65.60%,5.7,10.3,54.8,34.40%,2.3,5.4,41.5
Eric Gordon,NOP,26,4,4,100%,7,15.8,44.4,54.8,49.20%,3.8,7.8,48.4,50.80%,3.3,8,40.6
Joe Johnson,BKN,34,6,6,100%,5.7,15.7,36.2,42.6,56.40%,3.7,8.8,41.5,43.60%,2,6.8,29.3
Kawhi Leonard,SAS,24,7,7,100%,7.4,15.6,47.7,52.8,76.10%,5.9,11.9,49.4,23.90%,1.6,3.7,42.3
John Wall,WAS,24,7,7,100%,6.1,15.6,39.4,40.8,84.40%,5.7,13.1,43.5,15.60%,0.4,2.4,17.6
Khris Middleton,MIL,23,6,6,100%,5.8,15.3,38,44,63.00%,4,9.7,41.4,37.00%,1.8,5.7,32.4
Zach Randolph,MEM,33,11,11,100%,6.5,15.3,42.3,42.6,97.00%,6.4,14.8,42.9,3.00%,0.1,0.5,20
Chandler Parsons,DAL,26,1,1,100%,5,15,33.3,33.3,73.30%,5,11,45.5,26.70%,0,4,0
Jeff Teague,ATL,27,16,16,100%,6.1,14.9,41,45.4,72.80%,4.8,10.9,44.3,27.20%,1.3,4.1,32.3
Brook Lopez,BKN,27,6,6,100%,7.2,14.5,49.4,49.4,100%,7.2,14.5,49.4,0.00%,0,0,-
Kyle Lowry,TOR,29,4,4,100%,4.5,14.3,31.6,36,59.60%,3.3,8.5,38.2,40.40%,1.3,5.8,21.7
Kyrie Irving,CLE,23,13,13,100%,6.2,14.2,43.8,51.1,67.60%,4.2,9.6,43.2,32.40%,2.1,4.6,45
Nicolas Batum,POR,26,5,5,100%,4.8,14,34.3,43.6,44.30%,2.2,6.2,35.5,55.70%,2.6,7.8,33.3
Isaiah Thomas,BOS,26,4,4,100%,4.5,13.5,33.3,36.1,66.70%,3.8,9,41.7,33.30%,0.8,4.5,16.7
CJ McCollum,POR,23,5,5,100%,6.4,13.4,47.8,56,65.70%,4.2,8.8,47.7,34.30%,2.2,4.6,47.8
Jamal Crawford,LAC,35,14,14,100%,4.8,13.3,36,40.9,60.20%,3.5,8,43.8,39.80%,1.3,5.3,24.3
Al Horford,ATL,29,16,16,100%,6.7,13.2,50.7,51.2,95.70%,6.6,12.6,52,4.30%,0.1,0.6,22.2
Paul Millsap,ATL,30,16,16,100%,5.3,13.1,40.7,44.3,76.60%,4.4,10,43.8,23.40%,0.9,3.1,30.6
Michael Carter-Williams,MIL,23,6,6,100%,5.5,13,42.3,42.3,93.60%,5.5,12.2,45.2,6.40%,0,0.8,0
Tony Parker,SAS,33,7,7,100%,4.7,13,36.3,36.3,90.10%,4.7,11.7,40.2,9.90%,0,1.3,0
Tim Duncan,SAS,39,7,7,100%,7.6,12.9,58.9,58.9,98.90%,7.6,12.7,59.6,1.10%,0,0.1,0
Avery Bradley,BOS,24,4,4,100%,4.8,12.5,38,43,62.00%,3.5,7.8,45.2,38.00%,1.3,4.8,26.3
Lou Williams,TOR,28,4,4,100%,3.8,12.5,30,34,58.00%,2.8,7.3,37.9,42.00%,1,5.3,19
Mike Conley,MEM,27,8,8,100%,5.1,12,42.7,47.9,65.60%,3.9,7.9,49.2,34.40%,1.3,4.1,30.3
Giannis Antetokounmpo,MIL,20,6,6,100%,4.3,11.8,36.6,36.6,98.60%,4.3,11.7,37.1,1.40%,0,0.2,0
Pau Gasol,CHI,34,10,10,100%,5.6,11.5,48.7,48.7,96.50%,5.6,11.1,50.5,3.50%,0,0.4,0
JJ Redick,LAC,31,14,14,100%,5,11.5,43.5,54.3,45.30%,2.5,5.2,47.9,54.70%,2.5,6.3,39.8
Deron Williams,BKN,31,6,6,100%,4.5,11.5,39.1,47.1,62.30%,2.7,7.2,37.2,37.70%,1.8,4.3,42.3
J.R. Smith,CLE,29,18,18,100%,4.6,11.4,40.3,52.7,31.10%,1.8,3.6,50,68.90%,2.8,7.9,35.9
Draymond Green,GSW,25,21,21,100%,4.8,11.4,41.7,46.7,62.10%,3.6,7.1,51,37.90%,1.1,4.3,26.4
Jose Juan Barea,DAL,31,5,5,100%,5,11.4,43.9,47.4,71.90%,4.2,8.2,51.2,28.10%,0.8,3.2,25
Josh Smith,HOU,29,17,17,100%,5,11.3,44,51,63.20%,3.4,7.2,47.5,36.80%,1.6,4.2,38
DeMarre Carroll,ATL,28,16,16,100%,5.4,11.1,48.6,56.8,59.30%,3.6,6.6,54.3,40.70%,1.8,4.5,40.3
Thaddeus Young,BKN,27,6,6,100%,4.8,11,43.9,43.9,93.90%,4.8,10.3,46.8,6.10%,0,0.7,0
Evan Turner,BOS,26,4,4,100%,4,11,36.4,38.6,90.90%,3.5,10,35,9.10%,0.5,1,50
Tyreke Evans,NOP,25,4,4,100%,3.5,10.8,32.6,34.9,74.40%,3,8,37.5,25.60%,0.5,2.8,18.2
Dwight Howard,HOU,29,17,17,100%,6.1,10.7,57.5,57.5,100%,6.1,10.7,57.5,0.00%,0,0,-
Trevor Ariza,HOU,29,17,17,100%,4.4,10.3,42.6,52.8,45.50%,2.3,4.7,48.8,54.50%,2.1,5.7,37.5
Kevin Love,CLE,26,4,4,100%,4.3,10.3,41.5,52.4,48.80%,2,5,40,51.20%,2.3,5.3,42.9
Ersan Ilyasova,MIL,28,6,6,100%,3.3,10.2,32.8,36.9,62.30%,2.5,6.3,39.5,37.70%,0.8,3.8,21.7
Boris Diaw,SAS,33,7,7,100%,4.9,10.1,47.9,50.7,74.60%,4.3,7.6,56.6,25.40%,0.6,2.6,22.2
Rajon Rondo,DAL,29,2,2,100%,4.5,10,45,47.5,90.00%,4,9,44.4,10.00%,0.5,1,50
Paul Pierce,WAS,37,10,10,100%,4.8,9.9,48.5,65.2,36.40%,1.5,3.6,41.7,63.60%,3.3,6.3,52.4
Bojan Bogdanovic,BKN,26,6,6,100%,3.8,9.8,39,48.3,44.10%,2,4.3,46.2,55.90%,1.8,5.5,33.3
Corey Brewer,HOU,29,17,17,100%,4.2,9.8,43.1,46.7,74.90%,3.5,7.3,48,25.10%,0.7,2.5,28.6
Jeff Green,MEM,28,11,11,100%,3.3,9.8,33.3,35.2,83.30%,2.9,8.2,35.6,16.70%,0.4,1.6,22.2
Harrison Barnes,GSW,23,21,21,100%,4.2,9.5,44,49.5,69.00%,3.1,6.6,47.8,31.00%,1.1,3,35.5
Jared Sullinger,BOS,23,4,4,100%,5.3,9.5,55.3,59.2,76.30%,4.5,7.3,62.1,23.70%,0.8,2.3,33.3
Jonas Valanciunas,TOR,23,4,4,100%,4.8,9.5,50,50,100%,4.8,9.5,50,0.00%,0,0,-
Kyle Korver,ATL,34,14,14,100%,3.7,9.5,39.1,53.8,17.30%,0.9,1.6,56.5,82.70%,2.8,7.9,35.5
Terrence Jones,HOU,23,17,17,100%,3.9,9.3,42.1,43.1,88.10%,3.8,8.2,45.7,11.90%,0.2,1.1,15.8
Courtney Lee,MEM,29,11,11,100%,5,9.1,55,62,70.00%,3.7,6.4,58.6,30.00%,1.3,2.7,46.7
Dennis Schroder,ATL,21,16,16,100%,3.5,9.1,38.6,41.4,76.60%,3,6.9,43.2,23.40%,0.5,2.1,23.5
Jarrett Jack,BKN,31,6,6,100%,4.7,9,51.9,56.5,72.20%,3.8,6.5,59,27.80%,0.8,2.5,33.3
Ryan Anderson,NOP,27,4,4,100%,4,9,44.4,51.4,66.70%,2.8,6,45.8,33.30%,1.3,3,41.7
Norris Cole,NOP,26,4,4,100%,3.8,9,41.7,45.8,61.10%,3,5.5,54.5,38.90%,0.8,3.5,21.4
O.J. Mayo,MIL,27,6,6,100%,3,9,33.3,38.9,64.80%,2,5.8,34.3,35.20%,1,3.2,31.6
Tyler Ennis,MIL,20,1,1,100%,2,9,22.2,27.8,44.40%,1,4,25,55.60%,1,5,20
Otto Porter,WAS,22,10,10,100%,3.9,8.8,44.3,51.1,63.60%,2.7,5.6,48.2,36.40%,1.2,3.2,37.5
Danny Green,SAS,28,7,7,100%,3,8.7,34.4,44.3,34.40%,1.3,3,42.9,65.60%,1.7,5.7,30
Marcin Gortat,WAS,31,10,10,100%,5.4,8.6,62.8,62.8,100%,5.4,8.6,62.8,0.00%,0,0,-
Iman Shumpert,CLE,25,20,20,100%,3,8.2,36,46,43.30%,1.3,3.5,36.6,56.70%,1.6,4.7,35.5
Andre Iguodala,GSW,31,21,21,100%,3.9,8.1,47.4,55.8,52.00%,2.5,4.2,58.4,48.00%,1.4,3.9,35.4
Johnny O'Bryant,MIL,22,1,1,100%,3,8,37.5,37.5,100%,3,8,37.5,0.00%,0,0,-
Miles Plumlee,MIL,26,1,1,100%,1,8,12.5,12.5,100%,1,8,12.5,0.00%,0,0,-
Jason Terry,HOU,37,17,17,100%,3.4,7.9,42.5,53.4,38.80%,1.6,3.1,53.8,61.20%,1.7,4.8,35.4
Nene,WAS,32,10,10,100%,3.4,7.6,44.7,44.7,100%,3.4,7.6,44.7,0.00%,0,0,-
Austin Rivers,LAC,22,14,14,100%,3.3,7.5,43.8,50,66.70%,2.4,5,47.1,33.30%,0.9,2.5,37.1
Timofey Mozgov,CLE,28,20,20,100%,3.7,7.4,50,50,100%,3.7,7.4,50,0.00%,0,0,-
Mike Dunleavy,CHI,34,12,12,100%,3.6,7.3,48.9,64.2,36.40%,1.3,2.7,50,63.60%,2.3,4.7,48.2
Beno Udrih,MEM,32,10,10,100%,3.1,7.3,42.5,45.2,78.10%,2.7,5.7,47.4,21.90%,0.4,1.6,25
Amir Johnson,TOR,28,4,4,100%,5,7.3,69,69,96.60%,5,7,71.4,3.40%,0,0.3,0
Tyler Zeller,BOS,25,4,4,100%,3.8,7.3,51.7,51.7,100%,3.8,7.3,51.7,0.00%,0,0,-
Jae Crowder,BOS,24,4,4,100%,3.8,7.3,51.7,56.9,65.50%,3,4.8,63.2,34.50%,0.8,2.5,30
Marcus Smart,BOS,21,4,4,100%,3.5,7.3,48.3,53.4,55.20%,2.8,4,68.8,44.80%,0.8,3.3,23.1
Greivis Vasquez,TOR,28,4,4,100%,2.8,7.3,37.9,46.6,51.70%,1.5,3.8,40,48.30%,1.3,3.5,35.7
Terrence Ross,TOR,24,4,4,100%,2.8,7.3,37.9,48.3,37.90%,1.3,2.8,45.5,62.10%,1.5,4.5,33.3
Matt Barnes,LAC,35,14,14,100%,2.7,7.1,38,46,40.00%,1.6,2.9,55,60.00%,1.1,4.3,26.7
Amar'e Stoudemire,DAL,32,5,5,100%,3,7,42.9,42.9,100%,3,7,42.9,0.00%,0,0,-
Ramon Sessions,WAS,29,10,10,100%,2.6,7,37.1,44.3,64.30%,1.6,4.5,35.6,35.70%,1,2.5,40
Quincy Pondexter,NOP,27,4,4,100%,2.5,7,35.7,41.1,64.30%,1.8,4.5,38.9,35.70%,0.8,2.5,30
Alan Anderson,BKN,32,6,6,100%,4.2,6.8,61,73.2,61.00%,2.5,4.2,60,39.00%,1.7,2.7,62.5
John Henson,MIL,24,6,6,100%,4,6.8,58.5,58.5,97.60%,4,6.7,60,2.40%,0,0.2,0
Matthew Dellavedova,CLE,24,20,19,100%,2.4,6.8,34.6,43.4,44.10%,1.1,3,38.3,55.90%,1.2,3.8,31.6
Patrick Patterson,TOR,26,4,4,100%,3.8,6.8,55.6,68.5,44.40%,2,3,66.7,55.60%,1.8,3.8,46.7
Zaza Pachulia,MIL,31,6,6,100%,2.7,6.7,40,40,100%,2.7,6.7,40,0.00%,0,0,-
Tristan Thompson,CLE,24,20,19,100%,3.6,6.5,55.8,55.8,100%,3.6,6.5,55.8,0.00%,0,0,-
Joakim Noah,CHI,30,12,12,100%,2.6,6.3,40.8,40.8,100%,2.6,6.3,40.8,0.00%,0,0,-
Jrue Holiday,NOP,25,3,3,100%,2.3,6.3,36.8,39.5,78.90%,2,5,40,21.10%,0.3,1.3,25
Al-Farouq Aminu,DAL,24,5,5,100%,3.4,6.2,54.8,66.1,64.50%,2,4,50,35.50%,1.4,2.2,63.6
Manu Ginobili,SAS,37,7,7,100%,2.1,6.1,34.9,44.2,48.80%,1,3,33.3,51.20%,1.1,3.1,36.4
Drew Gooden,WAS,33,10,10,100%,2.3,6.1,37.7,47.5,57.40%,1.1,3.5,31.4,42.60%,1.2,2.6,46.2
Vince Carter,MEM,38,11,11,100%,2.5,6.1,40.3,45.5,58.20%,1.8,3.5,51.3,41.80%,0.6,2.5,25
Patty Mills,SAS,26,7,7,100%,3,6,50,69,33.30%,0.7,2,35.7,66.70%,2.3,4,57.1
Taj Gibson,CHI,30,12,11,100%,2.8,6,47.2,47.2,100%,2.8,6,47.2,0.00%,0,0,-
Nikola Mirotic,CHI,24,11,10,100%,1.8,6,30.3,35.6,54.50%,1.2,3.3,36.1,45.50%,0.6,2.7,23.3
Jerryd Bayless,MIL,26,6,6,100%,2,5.8,34.3,37.1,80.00%,1.7,4.7,35.7,20.00%,0.3,1.2,28.6
Tyson Chandler,DAL,32,5,5,100%,3.8,5.8,65.5,65.5,100%,3.8,5.8,65.5,0.00%,0,0,-
DeAndre Jordan,LAC,26,14,14,100%,4.1,5.8,71.6,71.6,100%,4.1,5.8,71.6,0.00%,0,0,-
Devin Harris,DAL,32,4,4,100%,2,5.8,34.8,34.8,52.20%,2,3,66.7,47.80%,0,2.8,0
Tony Allen,MEM,33,10,10,100%,2.8,5.7,49.1,50,87.70%,2.7,5,54,12.30%,0.1,0.7,14.3
Marco Belinelli,SAS,29,7,7,100%,2.9,5.6,51.3,69.2,23.10%,0.9,1.3,66.7,76.90%,2,4.3,46.7
Kevin Seraphin,WAS,25,6,6,100%,2.5,5.2,48.4,48.4,100%,2.5,5.2,48.4,0.00%,0,0,-
Aaron Brooks,CHI,30,12,12,100%,1.8,5.1,34.4,41,57.40%,1.1,2.9,37.1,42.60%,0.7,2.2,30.8
Jared Dudley,MIL,29,6,6,100%,2.3,5,46.7,60,53.30%,1,2.7,37.5,46.70%,1.3,2.3,57.1
Charlie Villanueva,DAL,30,5,5,100%,2.2,5,44,60,24.00%,0.6,1.2,50,76.00%,1.6,3.8,42.1
Mike Scott,ATL,26,11,10,100%,1.9,5,38.2,41.8,52.70%,1.6,2.6,58.6,47.30%,0.4,2.4,15.4
Brandon Bass,BOS,30,4,4,100%,1.8,5,35,35,100%,1.8,5,35,0.00%,0,0,-
Raymond Felton,DAL,31,3,3,100%,1.3,5,26.7,26.7,73.30%,1.3,3.7,36.4,26.70%,0,1.3,0
